datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 14:42:14,53.355559,-6.280264,84.0,5.8,1.229,
2024-04-02 14:42:15,53.355544,-6.280249,84.0,7.0,1.231,
2024-04-02 14:42:16,53.355531,-6.280232,84.0,6.3,1.232,
2024-04-02 14:42:17,53.355521,-6.280215,84.0,5.7,1.234,
2024-04-02 14:42:18,53.35551,-6.280195,84.0,6.5,1.236,
2024-04-02 14:42:19,53.3555,-6.280183,84.0,5.1,1.237,
2024-04-02 14:42:20,53.355489,-6.28017,84.0,5.4,1.239,
2024-04-02 14:42:21,53.355474,-6.280155,83.0,7.0,1.241,
2024-04-02 14:42:22,53.355462,-6.280142,83.0,5.8,1.242,
2024-04-02 14:42:23,53.355452,-6.280125,83.0,5.4,1.244,
2024-04-02 14:42:24,53.355444,-6.28011,82.0,5.2,1.245,
2024-04-02 14:42:25,53.35544,-6.280097,82.0,3.4,1.246,
2024-04-02 14:42:26,53.355436,-6.280084,82.0,3.5,1.247,
2024-04-02 14:42:27,53.355432,-6.280067,82.0,4.4,1.248,
2024-04-02 14:42:28,53.355426,-6.280046,81.0,5.3,1.25,
2024-04-02 14:42:29,53.355423,-6.28003,82.0,4.2,1.251,
2024-04-02 14:42:30,53.355417,-6.280013,82.0,4.6,1.252,
2024-04-02 14:42:31,53.355411,-6.279991,82.0,5.9,1.254,
2024-04-02 14:42:32,53.355403,-6.279974,81.0,5.0,1.255,
2024-04-02 14:42:33,53.355394,-6.279953,81.0,6.1,1.257,
2024-04-02 14:42:34,53.355391,-6.279938,81.0,4.0,1.258,
2024-04-02 14:42:35,53.355385,-6.27992,80.0,4.7,1.259,
2024-04-02 14:42:36,53.35538,-6.279899,80.0,5.5,1.261,
2024-04-02 14:42:37,53.355376,-6.279884,80.0,3.9,1.262,
2024-04-02 14:42:38,53.355372,-6.279866,80.0,4.6,1.263,
2024-04-02 14:42:39,53.355372,-6.279852,80.0,3.3,1.264,
